达人名称,综合价值分,粉丝数,认证类型,视频笔记报价,视频CPE,互动成本指数,粉丝质量指数,内容吸引力指数,省份
HAN,5.88,100727,腰部达人,11767.0,21.67,0.0013841170808071349,0.34692580000000006,0.011661538461538461,四川
廖健淇,5.88,165669,腰部达人,25000.0,110.28,0.0002717491838139281,0.35514387999999997,0.004765384615384616,中国
Q秦文龙,5.88,777832,头部达人,43000.0,200.93,0.0001490200566545563,0.35619104,0.00443076923076923,四川
越心Nami,5.88,825498,头部达人,40000.0,59.13,0.0005070711023319769,0.3512241,0.009446153846153845,中国
王志猩,5.88,2246621,头部达人,80000.0,0.0,0.001771717154589004,0.35176948,0.0016653846153846157,湖北
小白不怕,5.88,380731,腰部达人,24000.0,0.0,0.001771717154589004,0.35294112000000005,0.0,浙江
压蛋搞笑配音,5.88,113663,腰部达人,3900.0,0.0,0.001771717154589004,0.3467299,0.009615384615384616,中国
卢卓就是小灿,5.88,160228,腰部达人,42000.0,93.54,0.00032043278650320056,0.35599136,0.0034884615384615384,湖南
Lovesweetchan,5.87,653645,头部达人,38000.0,46.22,0.0006487841378920865,0.35256465,0.005584615384615384,上海
阿园的逃跑计划,5.87,2452324,头部达人,350000.0,0.0,0.001771717154589004,0.34935796,0.005207692307692307,中国
嘟嘟黄噜,5.87,333389,腰部达人,29680.0,16.48,0.0018201031552583218,0.3494452,0.004461538461538461,中国
九三哥哥,5.87,145318,腰部达人,8888.0,118.51,0.00025285755262641744,0.35431722000000004,0.00561923076923077,中国
小西西cc,5.87,101767,腰部达人,8000.0,0.0,0.001771717154589004,0.35245422,0.0,地球的某一片红薯地
济公爷爷.游本昌,5.87,150865,明星,11700.0,0.0,0.001771717154589004,0.34765668,0.007226923076923077,北京
粉红骡子,5.87,342725,腰部达人,32000.0,13.0,0.0023074072526658084,0.34640713999999995,0.006623076923076924,福建
Aiaih可儿の琼琼宝贝🌷,5.87,241725,腰部达人,18900.0,0.0,0.001771717154589004,0.35265866999999995,0.0,中国
杨蓉,5.87,1125149,明星,150000.0,0.0,0.001771717154589004,0.35022775,0.0034192307692307695,北京
顾瞻,5.86,126243,腰部达人,4100.0,10.58,0.0028352538481497625,0.34558608,0.003911538461538461,四川
Keira_Wan,5.86,102596,腰部达人,20000.0,13.05,0.002298565517159934,0.34720532,0.0041730769230769234,中国
亦亦爱吃鱼,5.86,111416,腰部达人,5500.0,44.86,0.0006684616902566169,0.35028022000000003,0.008634615384615386,中国
岩小羊的日常,5.86,111782,腰部达人,30000.0,27.57,0.0010878538783577535,0.351194,0.004988461538461538,美国
芳姐爱说,5.86,218865,腰部达人,10000.0,0.0,0.001771717154589004,0.34759178999999996,0.006676923076923077,日本
是大李呀！,5.86,110901,腰部达人,9000.0,0.0,0.001771717154589004,0.35185488,0.0,中国
芽虫日记,5.86,119651,腰部达人,22000.0,43.39,0.0006911180323814665,0.352408,0.004953846153846154,中国
谷的拉ki,5.86,123642,腰部达人,13000.0,0.0,0.001771717154589004,0.35212847999999997,0.0,中国
阿夫Ashraf,5.86,316332,腰部达人,21000.0,0.0,0.001771717154589004,0.3486658,0.005103846153846153,中国
YEZHOU叶洲（12月线下课）,5.85,221945,腰部达人,33800.0,85.12,0.00035215799535341213,0.34865544000000004,0.011069230769230769,中国
靳夫人,5.85,108864,腰部达人,5000.0,0.0,0.001771717154589004,0.3404528,0.016484615384615382,河南
巴冷丽迪,5.85,279340,腰部达人,10000.0,0.0,0.001771717154589004,0.3512241,0.0,北京
吾为卿狂之,5.85,501211,头部达人,16000.0,6.11,0.004909699321873408,0.33827904,0.0038115384615384617,陕西
林夕学姐,5.85,385269,腰部达人,25000.0,9.3,0.003225521658904805,0.34041755999999995,0.009019230769230769,安徽
莉莉安的日常,5.85,663413,头部达人,19500.0,240.74,0.00012433008928568545,0.34859722,0.013103846153846153,中國
果果的妈妈,5.85,845988,头部达人,85000.0,4.45,0.006741289245504791,0.3342636,0.001253846153846154,中国
洪欣,5.85,121909,明星,100000.0,0.0,0.001771717154589004,0.34934004,0.0029653846153846154,中国香港
是阿丁粘土手作,5.85,174730,腰部达人,13600.0,0.0,0.001771717154589004,0.35116975000000006,0.0,
鲨鱼Shark🦈,5.85,304445,腰部达人,32000.0,46.55,0.0006441827834077554,0.3509696,0.006242307692307692,北京
宝藏男孩💩,5.84,164638,腰部达人,5000.0,0.0,0.001771717154589004,0.3510146,0.0,山东
小亮真Lucky,5.84,102913,腰部达人,6000.0,0.0,0.001771717154589004,0.34099488,0.014469230769230769,中国
时尚奶奶,5.84,137379,腰部达人,118000.0,1638.89,1.8019363198219375e-05,0.35357088,0.004634615384615385,中国
小松想要羊羊幸福,5.84,241557,腰部达人,10300.0,0.0,0.001771717154589004,0.3491919,0.002565384615384615,山东
雯雯婷婷vov_,5.84,204725,腰部达人,20850.0,0.0,0.001771717154589004,0.34434302,0.009723076923076925,中国
蚂蚁,5.84,276027,腰部达人,26000.0,0.0,0.001771717154589004,0.33882034,0.018103846153846154,福建
洁柔霸总,5.84,204246,腰部达人,13900.0,42.61,0.000703774566586209,0.35153538,0.004303846153846154,广东
一只眠羊🐏,5.84,186514,腰部达人,19000.0,45.51,0.0006589102551213592,0.35238027000000005,0.0033807692307692306,广东
女王厨房 SurthyCooks,5.84,1098782,头部达人,40000.0,0.0,0.001771717154589004,0.3491865,0.002488461538461539,Venezuela
亿贝安,5.84,220899,腰部达人,13900.0,783.1,3.8023580194562145e-05,0.35550000000000004,0.0022615384615384615,中国
毛绒绒,5.84,113975,腰部达人,18585.0,0.0,0.001771717154589004,0.34870905,0.002911538461538461,中国
全球创意榜,5.84,188519,腰部达人,20000.0,4.66,0.00643748436533888,0.32835266,0.010407692307692309,江西
动词大茗音,5.83,303387,腰部达人,29000.0,0.0,0.001771717154589004,0.34714764,0.004211538461538462,四川
凯熠Olivia,5.83,653879,头部达人,50000.0,0.0,0.001771717154589004,0.34757752,0.003496153846153846,上海
小飞和星光村的故事,5.83,144166,腰部达人,5688.0,5.38,0.005575924057274107,0.33316766,0.00636923076923077,巴基斯坦
小豆没烦恼,5.83,364420,腰部达人,35000.0,0.0,0.001771717154589004,0.35022472000000004,0.0,中国
爱笑的吃吃,5.83,207235,腰部达人,35000.0,99.43,0.000301434174714731,0.35252029999999995,0.003830769230769231,浙江
新华网,5.83,1481278,企业机构号,102900.0,9.44,0.0031776812953181427,0.34239904,0.004592307692307692,北京
pan.,5.83,133709,腰部达人,15000.0,36.14,0.000829819669457529,0.34949040000000003,0.005930769230769231,China
款爷辣妈育儿经,5.83,103572,腰部达人,14500.0,0.0,0.001771717154589004,0.34463352,0.008165384615384616,中国
甜品小妹儿,5.83,421950,腰部达人,8136.0,67.8,0.0004421922881611341,0.3520101,0.004011538461538461,中国
小曹家萌犬🐶,5.83,135697,腰部达人,9300.0,244.74,0.0001222933841512075,0.35164550000000006,0.006688461538461538,河南
朵朵很爱吃,5.83,234793,腰部达人,13000.0,0.0,0.001771717154589004,0.34616399999999997,0.006411538461538461,中国
韩笑Mia,5.83,278983,腰部达人,60000.0,21.36,0.0014042090689393488,0.35024544,0.0015153846153846153,美国
陈小漂亮,5.83,141706,腰部达人,12000.0,36.42,0.0008234377499772718,0.34250034,0.016076923076923075,中国
奶茶糖,5.82,124359,腰部达人,5000.0,333.33,8.971521135620332e-05,0.3513955,0.005915384615384615,中国
张老板阿,5.82,1614381,头部达人,50000.0,21.07,0.0014235400365311352,0.34600944,0.00728076923076923,中国
瓜星,5.82,110317,腰部达人,3000.0,0.0,0.001771717154589004,0.3457788,0.005826923076923077,天津
长沙超凡减脂训练营,5.82,181800,企业机构号,11400.0,4885.71,5.854643650511449e-06,0.35560305,0.0,湖南
氧气桃桃,5.82,107140,腰部达人,5000.0,0.0,0.001771717154589004,0.3407616,0.012819230769230769,中国
阿头吃胖了,5.82,139788,腰部达人,22600.0,10.57,0.002837936477821018,0.34166370000000007,0.006473076923076923,广东
夏花日志,5.82,100955,腰部达人,25000.0,0.0,0.001771717154589004,0.34971199999999997,0.0,江苏
邻家晓亮,5.82,312650,腰部达人,79300.0,3.92,0.007652777696711995,0.31866875,0.0178,福建
娱乐圈圈子墨,5.82,103031,腰部达人,5450.0,0.0,0.001771717154589004,0.34454664,0.007692307692307693,中国
奈奈学姐,5.82,334082,腰部达人,,0.0,0.001771717154589004,0.34964956,0.0,中国
Aaaaaaa,5.81,114550,腰部达人,6000.0,0.0,0.001771717154589004,0.33958464,0.01411923076923077,中国
齐鲁频道,5.81,343561,企业机构号,21700.0,48.34,0.0006203185175613046,0.34960250000000004,0.004965384615384615,山东
鸟木,5.81,239231,腰部达人,18000.0,129.03,0.00023221842088361032,0.35242829999999997,0.0025115384615384613,云南
大陆老吾老,5.81,125702,腰部达人,30000.0,15.87,0.0018900739939773932,0.33871824,0.015157692307692308,中国
二进制尾灯,5.81,303540,腰部达人,5100.0,695.45,4.285183480431314e-05,0.35468392,0.0,中国
Goodluck艺文,5.81,619002,头部达人,30000.0,0.0,0.001771717154589004,0.34709787999999997,0.003203846153846154,中国
钢牙哥,5.8,107501,腰部达人,15000.0,1153.85,2.5714206394824047e-05,0.3458267,0.012823076923076921,重庆
蝴蝶飞过废墟,5.8,314691,腰部达人,30000.0,23.24,0.0012905924513568795,0.34704102000000003,0.004138461538461539,重庆
许宏江,5.8,113157,腰部达人,11378.0,31.41,0.0009548243961525838,0.34822448,0.004653846153846153,浙江
姚安娜Annabel,5.8,133716,明星,35000.0,9.57,0.003134511419533491,0.33997428,0.005623076923076923,北京
秋生,5.8,127012,腰部达人,8900.0,0.0,0.001771717154589004,0.34191000000000005,0.009699999999999999,湖南
别烦下雨,5.8,3347559,头部达人,45000.0,11.03,0.0027195700038040965,0.34313835,0.002980769230769231,浙江
哈莉不是波特,5.8,165267,腰部达人,10000.0,13.42,0.002235184372922595,0.34052868000000003,0.00965,美国
我是以前的桃子,5.8,226497,腰部达人,12000.0,0.0,0.001771717154589004,0.3480786,0.0,中国
江问渔,5.8,604472,头部达人,100000.0,103.95,0.00028831465669019047,0.3507735,0.004453846153846154,中国
女子敢死队～郭教官,5.79,145560,腰部达人,15976.0,52.61,0.0005699482444129424,0.33580472,0.02455769230769231,河南
黑犬酱,5.79,360337,腰部达人,30000.0,594.06,5.021424956126466e-05,0.35236135999999996,0.002330769230769231,湖南
刘佳宇,5.79,192223,明星,80000.0,1355.93,2.183932790727711e-05,0.35022348,0.005826923076923077,河北
不精致的嘉鑫,5.79,105995,腰部达人,6900.0,255.56,0.00011710358196788162,0.35064864,0.004661538461538462,河南
Ira Nova,5.79,259825,腰部达人,50000.0,120.05,0.0002496102337495295,0.34966208000000004,0.004865384615384615,上海
离谱米妮,5.79,285288,腰部达人,65000.0,9.22,0.003253511310733631,0.3388896,0.005826923076923077,China
Lily说科技,5.78,117351,腰部达人,24000.0,0.0,0.001771717154589004,0.33720282,0.014703846153846152,中国
沙漠人,5.78,132521,腰部达人,10300.0,0.0,0.001771717154589004,0.34695925,0.0,中国
赫拉,5.78,109424,腰部达人,9896.0,0.0,0.001771717154589004,0.339146,0.012207692307692308,中国
三月妈咪 食光日记,5.78,143785,腰部达人,3888.0,3888.0,7.430337219955255e-06,0.35355794999999995,0.0,山东
小鱼教p图,5.77,139743,腰部达人,1000.0,0.0,0.001771717154589004,0.34627416,0.0,广东
-zhong,5.77,154316,腰部达人,9800.0,0.0,0.001771717154589004,0.3464295,0.0,广东
小伶的日常,5.77,237132,腰部达人,18400.0,0.0,0.001771717154589004,0.34179967,0.007492307692307692,中国
天才朱青大人,5.77,336499,腰部达人,21000.0,8.94,0.003355419942392275,0.33939234,0.0031153846153846153,北京
作宝呗,5.77,429151,腰部达人,30000.0,545.45,5.4714759684227e-05,0.3451872,0.010734615384615386,上海
Dan欧尼,5.77,109185,腰部达人,14000.0,0.0,0.001771717154589004,0.34638114,0.0,广东
被妈妈打的小宋,5.77,370251,腰部达人,,0.0,0.001771717154589004,0.34208629,0.00625,河南
小阿七,5.76,681262,头部达人,30000.0,79.58,0.00037669353382856934,0.34627068,0.006446153846153846,广东
吴洁Jadewu,5.76,114586,腰部达人,10000.0,20.12,0.0014907683895805167,0.34091724,0.009292307692307693,上海
双胞胎乔馨乔玥,5.76,208561,腰部达人,38900.0,0.0,0.001771717154589004,0.33770100000000003,0.012523076923076923,意大利
山尼爱太极,5.76,519150,头部达人,80000.0,16.9,0.0017748627218120035,0.34362847999999996,0.0031192307692307695,北京
娜娜仔,5.76,213318,腰部达人,10000.0,0.0,0.001771717154589004,0.34605532,0.0,广东
R小冉🌾,5.76,106941,腰部达人,20000.0,53.76,0.0005577501593571883,0.34591700000000003,0.006238461538461539,中国
悦儿,5.76,1307169,头部达人,36800.0,52.01,0.0005765266019454971,0.34450524,0.008719230769230769,中国
张轶程本尊,5.76,123800,腰部达人,10700.0,97.27,0.00030813423599176704,0.34838855999999996,0.004080769230769231,中国
老傅聊聊北京那些事儿,5.75,108748,腰部达人,20000.0,0.0,0.001771717154589004,0.34546496000000004,0.0,北京
Sinuo,5.75,272656,腰部达人,35000.0,18.01,0.0016654560164172736,0.34166905999999997,0.005892307692307692,广东
沪上姐姐朱迪,5.75,428161,腰部达人,30000.0,0.0,0.001771717154589004,0.3250422,0.03076923076923077,中国
SHIQNIII,5.75,113315,腰部达人,9000.0,22.56,0.0013295018996145247,0.34362144,0.004842307692307692,阿拉伯联合酋长国
奶油小泡芙yo,5.75,206449,腰部达人,22500.0,175.78,0.0001703822146998451,0.3480072,0.004715384615384615,江苏
